"Name","Council District","NID"
"Margaret S Chin",1,122
"Alan J Gerson",1,
"Peter J Gleason",1,
"Arthur Gregory ",1,
"PJ Kim",1,
"Dodge P Landesman",2,
"Rosie Mendez",2,
"Juan Pagan",2,
"Jim Fouratt",3,
"Yetta G Kurland ",3,
"Maria Passannante-Derr",3,
"Christine C Quinn",3,
"Ashkok Chandra",4,
"Neal D'Alessio",4,
"Daniel R Garodnick",4,
"Stephen F Kaufman",5,
"Jessica S Lappin",5,135
"Gale A Brewer",6,
"Joseph J Selch",6,
"Victor A Bernace",7,
"Juan A Erazo",7,
"Robert Jackson",7,
"Felix E Jerez",7,
"Manuel Lantigua",7,
"Fred  Masson",7,
"Monique Washington",7,
"Edward L Gibbs",8,
"Gwen E Goodwin",8,
"Melissa Mark Viverito",8,
"Robert J Rodriguez",8,
"Calvin C Solomon",8,
"Francisco Spies",8,
"Evette Zayas",8,
"Carlton Berkley",9,
"Landon C Dais",9,
"Inez E Dickens",9,
"Francesca M Castellanos",10,
"Luis A Facundo",10,
"Guillermo Linares",10,
"Richard  Realmuto",10,
"Ydanis A Rodriguez",10,
"Cleofis Sarete",10,
"Francisco A  Spies",10,
"Ruben Dario Vargas",10,
"Manny C Velazquez",10,
"Anthony P Cassino",11,
"G. Oliver Koppell",11,
"Andy L King ",12,
"Herbert Moreira-Brown",12,
"Jerome L  Rice",12,
"Shirley J Saunders",12,
"Larry B Seabrook",12,
"Krystal Serrano",12,
"Sebastian D  Ulanga",12,
"Irene Estrada Rukaj",13,
"James Vacca",13,
"Maria Baez",14,
"Arthur L Burton III",14,
"Fernando Cabrera ",14,
"Yesenia Polanco",14,
"Hector R Ramirez",14,
"Yudelka Tapia",14,
"Jose A Padilla, Jr.",15,
"Joel  Rivera",15,
"Oscar F Zorrilla",15,
"Mark Escoffery-Bey",16,
"Helen Diane Foster",16,
"Daryl Johnson",16,
"Carlos Sierra",16,
"Maria Arroyo",17,
"Israel Martinez",17,
"Robert Rosado",17,
"Walter G  Nestler",18,
"Annabel Palma",18,
"Steven Anthony Behar",19,
"Thomas E Cooke",19,
"Daniel J Halloran",19,
"Jerry M Iannece",19,
"Kevin D Kim",19,
"Debra Markell",19,
"Paul A Vallone ",19,
"John Choe",20,
"Evergreen C Chou",20,
"Yen Chou",20,
"S.J. Jung",20,
"Constantine E Kavadas",20,
"Peter A Koo",20,
"Isaac M  Sasson",20,
"James M Wu",20,
"Julissa Ferreras",21,
"Jose Eduardo Giraldo",21,
"Jerry F Kann",22,
"Lynne Serpe",22,
"Peter F Vallone, Jr.",22,
"Robert Friedrich",23,124
"Swaranjit Singh",23,
"Mark S Weprin",23,
"James F Gennaro",24,
"Daniel P Dromm",25,
"Stanley J Kalathara",25,
"Charles E Martellaro",25,
"Mujib U Rahman",25,
"Helen Sears",25,
"Deirdre Feerick",26,123
"Brent M O'Leary",26,
"David J Rosasco",26,
"Kwame S Smalls",26,
"James G Van Bramer",26,
"Leroy G Comrie",27,
"Adrienne C Hayes",27,
"Shaun Mclaughlin",27,
"Clyde Vanel",27,
"Robert Hogan",28,
"Stephen S Jones",28,
"Lynn Nunes",28,
"Thomas White, Jr. ",28,
"Bartholomew F Bruno",29,
"Heidi H Chain",29,
"Albert Cohen",29,
"Michael L Cohen",29,
"Mel Gagarin",29,
"Jay Golub",29,
"Karen Koslowitz",29,
"Lynn C Schulman",29,
"Elizabeth S Crowley",30,
"Marquez Claxton",31,
"Michael R Duncan",31,
"Lou Grays",31,
"Jacques M Leandre",31,
"Frederick A Lewis",31,
"Scherie S Murray",31,
"James Sanders",31,
"Frank P Gulluscio",32,
"Eric A Ulrich",32,
"Isaac Abraham",33,131
"Kenneth Baer",33,
"Douglas J Biviano",33,
"Kenneth A Diamondstone",33,
"Stephen T Levin",33,
"Jo Anne Simon",33,
"Evan R Thies",33,
"Maritza Davila",34,
"Gerald A Esposito",34,
"Jacqueline Haro ",34,
"Diana Reyna",34,
"Gladys Santiago",34,
"Medhanie Estiphanos",35,
"Delia M Hunley-Adossa",35,
"Letitia James",35,121
"William A Carrington",36,
"Robert E Cornegy, Jr.",36,
"Aaron W Fraser",36,
"Mark W Griffith",36,
"David F Grinage",36,
"Saquan U Jones",36,
"Adrian M  Straker",36,
"Albert Vann",36,
"Tremaine Wright",36,
"Darma V Diaz",37,
"Erik M Dilan",37,
"Edward Rosado",37,128
"Sara M Gonzalez",38,
"Robinson Iglesias",38,
"John L Heyer, II",39,
"Brad S Lander",39,
"Joseph A Nardiello",39,
"David J Pechefsky",39,
"Gary G Reilly",39,
"Josh Skaller",39,
"George Smith ",39,
"Bob Zuckerman",39,
"Mathieu Eugene",40,
"John E Grant",40,
"Rock H Hackshaw",40,
"Leithland R Tulloch",40,
"Tracy L Boyland",41,
"Anthony L Herbert",41,
"Janelle A Hobson",41,
"Tulani Kinard",41,
"Darlene Mealy",41,
"Charles Barron",42,
"Carlos A Bristol",42,
"Donnezzetta Brown",42,
"Winchester Key",42,
"Prince D Lewis",42,
"Regina Powell ",42,
"Robert P Capano",43,
"Vincent J Gentile",43,126
"Simcha Felder",44,
"Rodrick F Daley",45,
"Ernest Emmanuel",45,
"Erlene J King ",45,
"Dexter A McKenzie",45,
"Kendall B Stewart",45,
"Samuel A Taitt",45,
"Jumaane D Williams ",45,
"Gene R Berardelli",46,
"Lewis A Fidler",46,
"Ayo O Johnson",46,
"Derek I Sacerdote",46,
"Alan J Sasson",46,
"Elias J Weir",46,
"Todd Dobrin",47,
"Connis M Mobley",47,
"Domenic Recchia",47,
"Simon L Belsky",48,120
"Michael C Nelson",48,
"Rajiv S Gowda",49,
"Timothy K Kuhn",49,
"Kenneth C Mitchell",49,
"Deborah Rose",49,
"Paul D Saryian",49,
"James S Oddo",50,
"James M Pocchia",50,
"Vinent M Ignizio",51,
"Janine Materna",51,
